date,mktrf,smb,hml,rmw,cma,rf,umd,r_f,r_mkt,r_me,r_ia,r_roe,r_eg
2012/09/09,0.0045,0.0008,0.0076,-0.0005,0.0007,0.0,-0.0138,0.0004,0.565,0.5636,-0.3701,0.2137,-0.6229
2012/09/16,0.0054,0.0056,0.0046,-0.0011,-0.0039,0.0,-0.0117,0.0004,0.6144,0.6639,-0.4917,-0.162,-0.2771
2012/09/23,0.0004,0.0046,-0.0001,-0.0022,0.0012,0.0,0.0028,0.0004,0.0444,0.3544,0.2371,-0.2157,-0.0893
2012/09/30,-0.0046,-0.0029,-0.0023,-0.0001,0.0,0.0,-0.0007,0.0004,-0.4505,-0.3165,0.0748,-0.0151,0.0906
2012/10/07,-0.0003,-0.0017,0.0023,-0.0013,0.0062,0.0,0.0017,0.0002,-0.0145,-0.1677,0.589,0.0451,-0.1796
2012/10/14,-0.0034,-0.0039,-0.0087,0.0053,-0.0019,0.0,0.0012,0.0002,-0.3499,-0.5633,0.0033,0.2608,-0.0148
2012/10/21,-0.0168,-0.0035,0.0046,-0.0012,0.0042,0.0,0.0028,0.0002,-1.5644,-0.3927,0.5571,0.1296,-0.2014
2012/10/28,-0.0007,-0.002,-0.0043,0.0038,-0.0021,0.0,-0.0001,0.0002,-0.1383,-0.3948,-0.1809,-0.0411,0.1353
2012/11/04,-0.0104,-0.0047,0.0024,0.0031,0.0047,0.0,0.0004,0.0004,-0.9756,-0.577,0.4195,0.1169,0.1094
2012/11/11,0.0015,-0.0001,-0.0011,0.0002,-0.0008,0.0,0.0028,0.0004,0.0936,-0.0472,-0.0507,-0.0456,0.1442
2012/11/18,0.0058,0.0003,0.0007,-0.0035,0.002,0.0,0.0084,0.0004,0.6195,0.1078,0.0483,0.0121,-0.0473
2012/11/25,0.0128,-0.0015,0.0008,0.0012,-0.0002,0.0,-0.0023,0.0004,1.2718,-0.1678,0.0042,0.0929,0.194
2012/12/02,0.0002,-0.0016,0.0028,-0.0015,0.0034,0.0,0.0007,0.0004,0.0257,-0.2897,0.309,-0.1827,-0.1681
2012/12/09,0.0027,-0.0034,0.0029,-0.0007,0.004,1e-05,-0.003,0.0005,0.2525,-0.203,0.2991,-0.1556,-0.4858
2012/12/16,-0.0034,0.0031,0.0023,-0.0017,0.0033,1e-05,-0.0045,0.0005,-0.3112,0.3279,0.2821,-0.3479,-0.4122
2012/12/23,-0.0088,0.0044,-0.0027,0.0023,-0.0015,1e-05,-0.002,0.0005,-0.8501,0.3317,-0.1049,-0.0429,0.0743
2012/12/30,-0.01,0.0046,0.0003,-0.0009,0.0011,1e-05,0.0035,0.0005,-0.9288,0.5021,0.0603,0.2154,-0.0184
2013/01/06,0.0055,0.0018,0.0036,-0.0036,0.0024,0.0,-0.0037,0.0001,0.5627,0.271,0.0697,-0.5138,-0.5784
2013/01/13,0.0002,0.0005,-0.0043,0.0023,-0.0021,0.0,-0.0018,0.0001,0.0246,-0.0057,0.0134,0.018,0.0702
2013/01/20,0.0029,0.0004,-0.0009,0.0018,0.0025,0.0,0.0007,0.0001,0.2936,-0.0446,0.3104,-0.1472,-0.1326
2013/01/27,0.0059,-0.0014,-0.0032,-0.0016,-0.0014,0.0,-0.0017,0.0001,0.5248,-0.1846,-0.2925,-0.4297,0.078
2013/02/03,0.0099,0.0008,0.0024,-0.0026,-0.0003,0.0,0.0031,0.0003,0.9285,0.1289,-0.1986,-0.1763,0.0881
2013/02/10,0.0058,0.0003,-0.0018,0.0009,-0.0045,0.0,-0.002,0.0003,0.5391,0.0153,-0.4464,0.0889,0.044
